"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2016-10-09T18:32:47.963+03:00","0.0","0.01"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2016-10-09T18:32:47.872+03:00","0.0","0.03"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2016-10-09T18:32:47.464+03:00","0.0","0.03"
"Podam factory basic types test","Podam should fill Java string type","SUCCESS","2016-10-09T18:32:48.365+03:00","0.0","0.01"
"Podam factory basic types test","Podam should fill Java string type with full constructor","SUCCESS","2016-10-09T18:32:48.379+03:00","0.0","0.01"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2016-10-09T18:32:48.030+03:00","0.0","0.01"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2016-10-09T18:32:47.996+03:00","0.0","0.01"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2016-10-09T18:32:47.512+03:00","0.0","0.35"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2016-10-09T18:32:48.338+03:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2016-10-09T18:32:47.499+03:00","0.0","0.01"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2016-10-09T18:32:47.913+03:00","0.0","0.05"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2016-10-09T18:32:48.049+03:00","0.0","0.28"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2016-10-09T18:32:48.016+03:00","0.0","0.01"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2016-10-09T18:32:47.980+03:00","0.0","0.01"
"Boolean unit test","Podam should handle booleans correctly","SUCCESS","2016-10-09T18:32:49.053+03:00","0.0","0.05"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2016-10-09T18:32:47.391+03:00","0.0","0.07"
"Class unit test","Podam should handle the manufacturing of POJOs with generic types in constructor","SUCCESS","2016-10-09T18:32:47.104+03:00","0.0","0.05"
"Class unit test","Podam should handle the manufacturing of basic types","SUCCESS","2016-10-09T18:32:47.164+03:00","0.0","0.03"
"Class unit test","Podam should handle the manufacturing of generic POJOs","SUCCESS","2016-10-09T18:32:47.203+03:00","0.0","0.02"
