"Story","Title","Result","Date","Stability","Duration (s)"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2015-06-14T20:05:35.731+01:00","0.0","0.03"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2015-06-14T20:05:35.713+01:00","0.0","0.02"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2015-06-14T20:05:35.922+01:00","0.0","0.04"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2015-06-14T20:05:35.814+01:00","0.0","0.02"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2015-06-14T20:05:35.764+01:00","0.0","0.02"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2015-06-14T20:05:35.786+01:00","0.0","0.03"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2015-06-14T20:05:35.696+01:00","0.0","0.02"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2015-06-14T20:05:35.854+01:00","0.0","0.02"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2015-06-14T20:05:35.903+01:00","0.0","0.02"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2015-06-14T20:05:35.871+01:00","0.0","0.02"
"Abnormal pojos test","Podam should return a null value for non instantiable POJOs","SUCCESS","2015-06-14T20:05:35.835+01:00","0.0","0.02"
"Abnormal pojos test","Podam should throw an exception if a POJO contains invalid getters or setters","SUCCESS","2015-06-14T20:05:35.891+01:00","0.0","0.01"
