"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-06-21T21:03:04.490+01:00","0.0","0.02"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-06-21T21:03:04.412+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2015-06-21T21:03:04.171+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-06-21T21:03:04.587+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2015-06-21T21:03:04.536+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-06-21T21:03:04.306+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-06-21T21:03:04.733+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-06-21T21:03:04.273+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-06-21T21:03:04.438+01:00","0.0","0.05"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-06-21T21:03:04.612+01:00","0.0","0.12"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-06-21T21:03:04.562+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-06-21T21:03:04.514+01:00","0.0","0.02"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-06-21T21:03:04.133+01:00","0.0","0.04"
